frequency;V(/BPF) (phase);V(/BPF) (gain);V(/BSF) (phase);V(/BSF) (gain);V(/HPF) (phase);V(/HPF) (gain);V(/LPF) (phase);V(/LPF) (gain);
3.80189;-90.1082;-48.5154;179.978;-0.000132914;179.803;-97.0308;-0.0216707;-1.06534e-05;
3.89045;-90.1067;-48.3154;179.978;-0.000132943;179.807;-96.6308;-0.0221755;-4.92046e-06;
3.98107;-90.1053;-48.1154;179.977;-0.000132973;179.81;-96.2308;-0.022692;1.08269e-06;
4.0738;-90.104;-47.9154;179.977;-0.000133005;179.813;-95.8308;-0.0232206;7.36875e-06;
4.16869;-90.1027;-47.7154;179.976;-0.000133039;179.817;-95.4307;-0.0237615;1.39511e-05;
4.2658;-90.1014;-47.5154;179.976;-0.000133074;179.82;-95.0307;-0.024315;2.08436e-05;
4.36516;-90.1002;-47.3154;179.975;-0.00013311;179.823;-94.6307;-0.0248814;2.8061e-05;
4.46684;-90.0991;-47.1154;179.975;-0.000133149;179.826;-94.2307;-0.025461;3.56186e-05;
4.57088;-90.098;-46.9154;179.974;-0.000133189;179.828;-93.8307;-0.0260541;4.35323e-05;
4.67735;-90.097;-46.7154;179.973;-0.000133231;179.831;-93.4307;-0.026661;5.1819e-05;
4.7863;-90.096;-46.5153;179.973;-0.000133275;179.834;-93.0307;-0.027282;6.04962e-05;
4.89779;-90.095;-46.3153;179.972;-0.000133321;179.836;-92.6307;-0.0279175;6.95824e-05;
5.01187;-90.0942;-46.1153;179.971;-0.000133369;179.839;-92.2307;-0.0285678;7.90968e-05;
5.12861;-90.0933;-45.9153;179.971;-0.000133419;179.841;-91.8307;-0.0292333;8.90597e-05;
5.24807;-90.0925;-45.7153;179.97;-0.000133472;179.843;-91.4307;-0.0299143;9.94921e-05;
5.37032;-90.0918;-45.5153;179.969;-0.000133528;179.846;-91.0307;-0.0306111;0.000110416;
5.49541;-90.0911;-45.3153;179.969;-0.000133586;179.848;-90.6307;-0.0313242;0.000121855;
5.62341;-90.0905;-45.1153;179.968;-0.000133646;179.85;-90.2306;-0.0320538;0.000133833;
5.7544;-90.0899;-44.9153;179.967;-0.00013371;179.852;-89.8306;-0.0328005;0.000146376;
5.88844;-90.0894;-44.7152;179.966;-0.000133777;179.854;-89.4306;-0.0335646;0.000159509;
6.0256;-90.0889;-44.5152;179.966;-0.000133846;179.855;-89.0306;-0.0343465;0.000173262;
6.16595;-90.0884;-44.3152;179.965;-0.000133919;179.857;-88.6306;-0.0351465;0.000187663;
6.30957;-90.088;-44.1152;179.964;-0.000133996;179.859;-88.2306;-0.0359653;0.000202742;
6.45654;-90.0877;-43.9152;179.963;-0.000134076;179.86;-87.8306;-0.0368031;0.000218533;
6.60693;-90.0874;-43.7152;179.962;-0.00013416;179.862;-87.4305;-0.0376604;0.000235067;
6.76083;-90.0871;-43.5152;179.961;-0.000134247;179.863;-87.0305;-0.0385377;0.000252381;
6.91831;-90.0869;-43.3151;179.961;-0.000134339;179.865;-86.6305;-0.0394354;0.000270511;
7.07946;-90.0867;-43.1151;179.96;-0.000134436;179.866;-86.2305;-0.0403541;0.000289495;
7.24436;-90.0866;-42.9151;179.959;-0.000134536;179.867;-85.8305;-0.0412942;0.000309374;
7.4131;-90.0865;-42.7151;179.958;-0.000134642;179.868;-85.4304;-0.0422561;0.00033019;
7.58578;-90.0865;-42.5151;179.957;-0.000134752;179.869;-85.0304;-0.0432405;0.000351987;
7.76247;-90.0865;-42.315;179.956;-0.000134868;179.87;-84.6304;-0.0442478;0.000374811;
7.94328;-90.0866;-42.115;179.955;-0.000134989;179.871;-84.2304;-0.0452786;0.000398711;
8.12831;-90.0867;-41.915;179.954;-0.000135116;179.872;-83.8304;-0.0463334;0.000423737;
8.31764;-90.0868;-41.715;179.953;-0.000135249;179.873;-83.4303;-0.0474128;0.000449943;
8.51138;-90.087;-41.5149;179.951;-0.000135388;179.874;-83.0303;-0.0485173;0.000477384;
8.70964;-90.0873;-41.3149;179.95;-0.000135534;179.874;-82.6303;-0.0496476;0.000506119;
8.91251;-90.0876;-41.1149;179.949;-0.000135686;179.875;-82.2302;-0.0508042;0.000536208;
9.12011;-90.0879;-40.9148;179.948;-0.000135846;179.875;-81.8302;-0.0519878;0.000567715;
9.33254;-90.0883;-40.7148;179.947;-0.000136013;179.876;-81.4302;-0.0531989;0.000600707;
9.54993;-90.0887;-40.5148;179.946;-0.000136189;179.876;-81.0301;-0.0544383;0.000635254;
9.77237;-90.0892;-40.3147;179.944;-0.000136372;179.877;-80.6301;-0.0557065;0.000671429;
10;-90.0897;-40.1147;179.943;-0.000136564;179.877;-80.2301;-0.0570044;0.000709309;
10.2329;-90.0903;-39.9147;179.942;-0.000136765;179.877;-79.83;-0.0583324;0.000748975;
10.4713;-90.0909;-39.7146;179.94;-0.000136976;179.877;-79.43;-0.0596914;0.00079051;
10.7152;-90.0916;-39.5146;179.939;-0.000137196;179.877;-79.0299;-0.0610821;0.000834003;
10.9648;-90.0923;-39.3145;179.938;-0.000137427;179.877;-78.6299;-0.0625052;0.000879546;
11.2202;-90.0931;-39.1145;179.936;-0.000137669;179.877;-78.2299;-0.0639615;0.000927236;
11.4815;-90.0939;-38.9144;179.935;-0.000137922;179.877;-77.8298;-0.0654517;0.000977173;
