time;V(/BSF);
0.0100046;-0.0603909;
0.0100146;-0.14712;
0.0100246;-0.232699;
0.0100346;-0.31647;
0.0100446;-0.397787;
0.0100546;-0.476026;
0.0100646;-0.550584;
0.0100746;-0.620888;
0.0100846;-0.686397;
0.0100946;-0.746608;
0.0101046;-0.801057;
0.0101146;-0.849327;
0.0101246;-0.891047;
0.0101346;-0.925897;
0.0101446;-0.953609;
0.0101546;-0.973971;
0.0101646;-0.986828;
0.0101746;-0.992082;
0.0101846;-0.989694;
0.0101946;-0.979683;
0.0102046;-0.962129;
0.0102146;-0.937168;
0.0102246;-0.904993;
0.0102346;-0.865853;
0.0102446;-0.820052;
0.0102546;-0.767944;
0.0102646;-0.709932;
0.0102746;-0.646463;
0.0102846;-0.578028;
0.0102946;-0.505155;
0.0103046;-0.428407;
0.0103146;-0.348376;
0.0103246;-0.26568;
0.0103346;-0.180956;
0.0103446;-0.0948587;
0.0103546;-0.00805159;
0.0103646;0.0787958;
0.0103746;0.165014;
0.0103846;0.249938;
0.0103946;0.332913;
0.0104046;0.413299;
0.0104146;0.490478;
0.0104246;0.563855;
0.0104346;0.632863;
0.0104446;0.696972;
0.0104546;0.755689;
0.0104646;0.80856;
0.0104746;0.855179;
0.0104846;0.895188;
0.0104946;0.928279;
0.0105046;0.954197;
0.0105146;0.972745;
0.0105246;0.983779;
0.0105346;0.987217;
0.0105446;0.983032;
0.0105546;0.971258;
0.0105646;0.951988;
0.0105746;0.925371;
0.0105846;0.891613;
0.0105946;0.850977;
0.0106046;0.803776;
0.0106146;0.750376;
0.0106246;0.691191;
0.0106346;0.626677;
0.0106446;0.557333;
0.0106546;0.483697;
0.0106646;0.406335;
0.0106746;0.325847;
0.0106846;0.242853;
0.0106946;0.157996;
0.0107046;0.0719301;
0.0107146;-0.0146796;
0.0107246;-0.101164;
0.0107346;-0.186856;
0.0107446;-0.271094;
0.0107546;-0.353227;
0.0107646;-0.432621;
0.0107746;-0.508663;
0.0107846;-0.580766;
0.0107946;-0.648374;
0.0108046;-0.710965;
0.0108146;-0.768056;
0.0108246;-0.819207;
0.0108346;-0.864022;
0.0108446;-0.902156;
0.0108546;-0.933314;
0.0108646;-0.957257;
0.0108746;-0.9738;
0.0108846;-0.982815;
0.0108946;-0.984234;
0.0109046;-0.978045;
0.0109146;-0.964296;
0.0109246;-0.943094;
0.0109346;-0.914603;
0.0109446;-0.879043;
0.0109546;-0.836689;
0.0109646;-0.787868;
0.0109746;-0.732957;
0.0109846;-0.672381;
0.0109946;-0.606607;
0.0110046;-0.536143;
0.0110146;-0.461534;
0.0110246;-0.383356;
0.0110346;-0.302212;
0.0110446;-0.21873;
0.0110546;-0.133554;
0.0110646;-0.0473416;
0.0110746;0.0392407;
0.0110846;0.125525;
0.0110946;0.210844;
0.0111046;0.294539;
0.0111146;0.375963;
0.0111246;0.454489;
0.0111346;0.529508;
0.0111446;0.600442;
0.0111546;0.666743;
0.0111646;0.727898;
0.0111746;0.783435;
0.0111846;0.832924;
0.0111946;0.875983;
0.0112046;0.912278;
0.0112146;0.941531;
0.0112246;0.963513;
0.0112346;0.978054;
0.0112446;0.985043;
0.0112546;0.984423;
0.0112646;0.9762;
0.0112746;0.960436;
0.0112846;0.937252;
0.0112946;0.906826;
0.0113046;0.869394;
0.0113146;0.825242;
0.0113246;0.774711;
0.0113346;0.718191;
0.0113446;0.656118;
0.0113546;0.588969;
0.0113646;0.517263;
0.0113746;0.441552;
0.0113846;0.362421;
0.0113946;0.28048;
0.0114046;0.196361;
0.0114146;0.110712;
0.0114246;0.0241959;
0.0114346;-0.0625215;
0.0114446;-0.14877;
0.0114546;-0.233885;
0.0114646;-0.31721;
0.0114746;-0.3981;
0.0114846;-0.475931;
0.0114946;-0.550104;
0.0115046;-0.620044;
0.0115146;-0.685213;
0.0115246;-0.745106;
0.0115346;-0.799261;
0.0115446;-0.847259;
0.0115546;-0.88873;
0.0115646;-0.923353;
0.0115746;-0.950859;
0.0115846;-0.971037;
0.0115946;-0.983728;
0.0116046;-0.988835;
0.0116146;-0.986318;
0.0116246;-0.976193;
0.0116346;-0.95854;
0.0116446;-0.933492;
0.0116546;-0.901243;
0.0116646;-0.862039;
0.0116746;-0.816183;
0.0116846;-0.764027;
0.0116946;-0.705973;
0.0117046;-0.642467;
0.0117146;-0.573998;
0.0117246;-0.501093;
0.0117346;-0.424315;
0.0117446;-0.344254;
0.0117546;-0.261528;
0.0117646;-0.176773;
0.0117746;-0.0906422;
0.0117846;-0.00380022;
0.0117946;0.0830841;
0.0118046;0.169341;
0.0118146;0.254306;
0.0118246;0.337324;
0.0118346;0.417755;
0.0118446;0.494978;
0.0118546;0.568399;
0.0118646;0.637452;
0.0118746;0.701603;
0.0118846;0.760357;
0.0118946;0.813263;
0.0119046;0.859911;
0.0119146;0.899941;
0.0119246;0.933045;
0.0119346;0.958967;
0.0119446;0.977506;
0.0119546;0.988519;
0.0119646;0.991921;
0.0119746;0.987684;
0.0119846;0.975841;
0.0119946;0.956483;
0.0120046;0.929758;
