time;V(/BSF);
0.0100063;0.572482;
0.0100163;0.585838;
0.0100263;0.59904;
0.0100363;0.612084;
0.0100463;0.624968;
0.0100563;0.637686;
0.0100663;0.650237;
0.0100763;0.662616;
0.0100863;0.674819;
0.0100963;0.686842;
0.0101063;0.698684;
0.0101163;0.710339;
0.0101263;0.721805;
0.0101363;0.733078;
0.0101463;0.744155;
0.0101563;0.755033;
0.0101663;0.765708;
0.0101763;0.776178;
0.0101863;0.786439;
0.0101963;0.796489;
0.0102063;0.806324;
0.0102163;0.815942;
0.0102263;0.825339;
0.0102363;0.834514;
0.0102463;0.843463;
0.0102563;0.852184;
0.0102663;0.860674;
0.0102763;0.868932;
0.0102863;0.876954;
0.0102963;0.884738;
0.0103063;0.892282;
0.0103163;0.899585;
0.0103263;0.906643;
0.0103363;0.913456;
0.0103463;0.92002;
0.0103563;0.926335;
0.0103663;0.932399;
0.0103763;0.93821;
0.0103863;0.943767;
0.0103963;0.949067;
0.0104063;0.95411;
0.0104163;0.958895;
0.0104263;0.96342;
0.0104363;0.967684;
0.0104463;0.971686;
0.0104563;0.975426;
0.0104663;0.978901;
0.0104763;0.982113;
0.0104863;0.985059;
0.0104963;0.987739;
0.0105063;0.990153;
0.0105163;0.9923;
0.0105263;0.994181;
0.0105363;0.995793;
0.0105463;0.997139;
0.0105563;0.998216;
0.0105663;0.999026;
0.0105763;0.999567;
0.0105863;0.999841;
0.0105963;0.999848;
0.0106063;0.999587;
0.0106163;0.99906;
0.0106263;0.998265;
0.0106363;0.997205;
0.0106463;0.995879;
0.0106563;0.994288;
0.0106663;0.992432;
0.0106763;0.990313;
0.0106863;0.987931;
0.0106963;0.985287;
0.0107063;0.982382;
0.0107163;0.979216;
0.0107263;0.975792;
0.0107363;0.972109;
0.0107463;0.96817;
0.0107563;0.963975;
0.0107663;0.959525;
0.0107763;0.954823;
0.0107863;0.949868;
0.0107963;0.944664;
0.0108063;0.93921;
0.0108163;0.93351;
0.0108263;0.927563;
0.0108363;0.921372;
0.0108463;0.91494;
0.0108563;0.908266;
0.0108663;0.901353;
0.0108763;0.894204;
0.0108863;0.886819;
0.0108963;0.879201;
0.0109063;0.871352;
0.0109163;0.863274;
0.0109263;0.854969;
0.0109363;0.846438;
0.0109463;0.837685;
0.0109563;0.828711;
0.0109663;0.819519;
0.0109763;0.810111;
0.0109863;0.800489;
0.0109963;0.790656;
0.0110063;0.780614;
0.0110163;0.770366;
0.0110263;0.759914;
0.0110363;0.749261;
0.0110463;0.73841;
0.0110563;0.727363;
0.0110663;0.716123;
0.0110763;0.704692;
0.0110863;0.693075;
0.0110963;0.681273;
0.0111063;0.669289;
0.0111163;0.657127;
0.0111263;0.644789;
0.0111363;0.632279;
0.0111463;0.6196;
0.0111563;0.606754;
0.0111663;0.593746;
0.0111763;0.580578;
0.0111863;0.567254;
0.0111963;0.553777;
0.0112063;0.540151;
0.0112163;0.526378;
0.0112263;0.512463;
0.0112363;0.49841;
0.0112463;0.484221;
0.0112563;0.4699;
0.0112663;0.455452;
0.0112763;0.440879;
0.0112863;0.426187;
0.0112963;0.411377;
0.0113063;0.396455;
0.0113163;0.381425;
0.0113263;0.366289;
0.0113363;0.351053;
0.0113463;0.33572;
0.0113563;0.320295;
0.0113663;0.304781;
0.0113763;0.289183;
0.0113863;0.273504;
0.0113963;0.25775;
0.0114063;0.241924;
0.0114163;0.226031;
0.0114263;0.210075;
0.0114363;0.19406;
0.0114463;0.17799;
0.0114563;0.161871;
