time;V(/BPF);
0.0100009;0.359105;
0.0100109;0.418808;
0.0100209;0.470382;
0.0100309;0.512877;
0.0100409;0.545512;
0.0100509;0.567696;
0.0100609;0.579033;
0.0100709;0.579332;
0.0100809;0.56861;
0.0100909;0.547093;
0.0101009;0.515208;
0.0101109;0.473579;
0.0101209;0.423014;
0.0101309;0.364487;
0.0101409;0.299124;
0.0101509;0.228177;
0.0101609;0.153005;
0.0101709;0.0750441;
0.0101809;-0.00421556;
0.0101909;-0.0832615;
0.0102009;-0.160585;
0.0102109;-0.234712;
0.0102209;-0.304228;
0.0102309;-0.367806;
0.0102409;-0.424233;
0.0102509;-0.472431;
0.0102609;-0.511477;
0.0102709;-0.540623;
0.0102809;-0.559308;
0.0102909;-0.567168;
0.0103009;-0.564045;
0.0103109;-0.549989;
0.0103209;-0.525257;
0.0103309;-0.490308;
0.0103409;-0.445795;
0.0103509;-0.392552;
0.0103609;-0.331579;
0.0103709;-0.264023;
0.0103809;-0.191155;
0.0103909;-0.114349;
0.0104009;-0.0350542;
0.0104109;0.045233;
0.0104209;0.124995;
0.0104309;0.202725;
0.0104409;0.27695;
0.0104509;0.346263;
0.0104609;0.409351;
0.0104709;0.465012;
0.0104809;0.512187;
0.0104909;0.549974;
0.0105009;0.577647;
0.0105109;0.594669;
0.0105209;0.600703;
0.0105309;0.595618;
0.0105409;0.579492;
0.0105509;0.552609;
0.0105609;0.515457;
0.0105709;0.468716;
0.0105809;0.413244;
0.0105909;0.350066;
0.0106009;0.28035;
0.0106109;0.205389;
0.0106209;0.126572;
0.0106309;0.0453624;
0.0106409;-0.0367312;
0.0106509;-0.118184;
0.0106609;-0.197483;
0.0106709;-0.273154;
0.0106809;-0.343792;
0.0106909;-0.408086;
0.0107009;-0.464843;
0.0107109;-0.513012;
0.0107209;-0.551703;
0.0107309;-0.580202;
0.0107409;-0.597988;
0.0107509;-0.604738;
0.0107609;-0.600339;
0.0107709;-0.584885;
0.0107809;-0.558677;
0.0107909;-0.522216;
0.0108009;-0.476199;
0.0108109;-0.421496;
0.0108209;-0.359145;
0.0108309;-0.290322;
0.0108409;-0.216326;
0.0108509;-0.138553;
0.0108609;-0.058466;
0.0108709;0.0224271;
0.0108809;0.102606;
0.0108909;0.180563;
0.0109009;0.254836;
0.0109109;0.324032;
0.0109209;0.386855;
0.0109309;0.442128;
0.0109409;0.488821;
0.0109509;0.526063;
0.0109609;0.553163;
0.0109709;0.569623;
0.0109809;0.575145;
0.0109909;0.569636;
0.0110009;0.553215;
0.0110109;0.526204;
0.0110209;0.489126;
0.0110309;0.442694;
0.0110409;0.387797;
0.0110509;0.325486;
0.0110609;0.256948;
0.0110709;0.183491;
0.0110809;0.106514;
0.0110909;0.0274831;
0.0111009;-0.0520974;
0.0111109;-0.130712;
0.0111209;-0.206865;
0.0111309;-0.279106;
0.0111409;-0.346057;
0.0111509;-0.406443;
0.0111609;-0.45911;
0.0111709;-0.503052;
0.0111809;-0.537425;
0.0111909;-0.561569;
0.0112009;-0.575013;
0.0112109;-0.577491;
0.0112209;-0.568943;
0.0112309;-0.549518;
0.0112409;-0.519569;
0.0112509;-0.479649;
0.0112609;-0.430498;
0.0112709;-0.373033;
0.0112809;-0.308327;
0.0112909;-0.23759;
0.0113009;-0.162147;
0.0113109;-0.0834114;
0.0113209;-0.00286131;
0.0113309;0.0779911;
0.0113409;0.157627;
0.0113509;0.234548;
0.0113609;0.307308;
0.0113709;0.374537;
0.0113809;0.434967;
0.0113909;0.48746;
0.0114009;0.531023;
0.0114109;0.564832;
0.0114209;0.588245;
0.0114309;0.600816;
0.0114409;0.602299;
0.0114509;0.59266;
0.0114609;0.57207;
0.0114709;0.540907;
0.0114809;0.499747;
0.0114909;0.449353;
0.0115009;0.390663;
0.0115109;0.324767;
0.0115209;0.252894;
0.0115309;0.176382;
0.0115409;0.0966583;
0.0115509;0.0152079;
0.0115609;-0.0664502;
0.0115709;-0.146794;
0.0115809;-0.224327;
0.0115909;-0.297604;
0.0116009;-0.365261;
0.0116109;-0.42604;
0.0116209;-0.478812;
0.0116309;-0.522599;
0.0116409;-0.556591;
0.0116509;-0.580163;
0.0116609;-0.592885;
0.0116709;-0.594531;
0.0116809;-0.585083;
0.0116909;-0.564733;
0.0117009;-0.533874;
0.0117109;-0.493099;
0.0117209;-0.443187;
0.0117309;-0.385088;
0.0117409;-0.319903;
0.0117509;-0.24887;
0.0117609;-0.173332;
0.0117709;-0.0947196;
0.0117809;-0.0145176;
0.0117909;0.0657585;
0.0118009;0.144593;
0.0118109;0.220498;
0.0118209;0.292043;
0.0118309;0.357878;
0.0118409;0.416763;
0.0118509;0.467589;
0.0118609;0.5094;
0.0118709;0.54141;
0.0118809;0.56302;
0.0118909;0.573824;
0.0119009;0.573624;
0.0119109;0.562428;
0.0119209;0.540451;
0.0119309;0.508114;
0.0119409;0.466031;
0.0119509;0.415002;
0.0119609;0.355995;
0.0119709;0.290129;
0.0119809;0.218654;
0.0119909;0.142924;
0.0120009;0.0643751;
