time;V(/BSF);
0.0125455;0.0769018;
0.0125555;-0.122842;
0.0125655;-0.317681;
0.0125755;-0.499828;
0.0125855;-0.662001;
0.0125955;-0.797718;
0.0126055;-0.901553;
0.0126155;-0.969356;
0.0126255;-0.998414;
0.0126355;-0.987565;
0.0126455;-0.937242;
0.0126555;-0.849453;
0.0126655;-0.727706;
0.0126755;-0.576864;
0.0126855;-0.402956;
0.0126955;-0.212929;
0.0127055;-0.0143776;
0.0127155;0.184766;
0.0127255;0.376542;
0.0127355;0.55329;
0.0127455;0.707945;
0.0127555;0.834329;
0.0127655;0.92739;
0.0127755;0.983411;
0.0127855;1.00015;
0.0127955;0.976947;
0.0128055;0.914722;
0.0128155;0.815964;
0.0128255;0.684621;
0.0128355;0.525941;
0.0128455;0.346267;
0.0128555;0.152778;
0.0128655;-0.0467933;
0.0128755;-0.244471;
0.0128855;-0.432355;
0.0128955;-0.602938;
0.0129055;-0.749403;
0.0129155;-0.865897;
0.0129255;-0.947765;
0.0129355;-0.991736;
0.0129455;-0.996054;
0.0129555;-0.960548;
0.0129655;-0.886636;
0.0129755;-0.777274;
0.0129855;-0.636834;
0.0129955;-0.470929;
0.0130055;-0.286191;
0.0130155;-0.0900041;
0.0130255;0.10979;
0.0130355;0.305206;
0.0130455;0.488432;
0.0130555;0.652145;
0.0130655;0.7898;
0.0130755;0.895896;
0.0130855;0.966189;
0.0130955;0.997871;
0.0131055;0.989673;
0.0131155;0.941922;
0.0131255;0.856524;
0.0131355;0.736892;
0.0131455;0.587805;
0.0131555;0.415219;
0.0131655;0.226032;
0.0131755;0.0278024;
0.0131855;-0.171549;
0.0131955;-0.364055;
0.0132055;-0.542025;
0.0132155;-0.698346;
0.0132255;-0.826773;
0.0132355;-0.922173;
0.0132455;-0.980735;
0.0132555;-1.00012;
0.0132655;-0.97955;
0.0132755;-0.919852;
0.0132855;-0.823411;
0.0132955;-0.694081;
0.0133055;-0.537031;
0.0133155;-0.358538;
0.0133255;-0.165735;
0.0133355;0.0336725;
0.0133455;0.231716;
0.0133555;0.42048;
0.0133655;0.592421;
0.0133755;0.740668;
0.0133855;0.859297;
0.0133955;0.943567;
0.0134055;0.990112;
0.0134155;0.99707;
0.0134255;0.964166;
0.0134355;0.892714;
0.0134455;0.785572;
0.0134555;0.647021;
0.0134655;0.482599;
0.0134755;0.298879;
0.0134855;0.103204;
0.0134955;-0.0966058;
0.0135055;-0.292563;
0.0135155;-0.476837;
0.0135255;-0.64206;
0.0135355;-0.781629;
0.0135455;-0.889966;
0.0135555;-0.962739;
0.0135655;-0.997038;
0.0135755;-0.991493;
0.0135855;-0.946323;
0.0135955;-0.863332;
0.0136055;-0.745836;
0.0136155;-0.59853;
0.0136255;-0.427299;
0.0136355;-0.238985;
0.0136455;-0.0411132;
0.0136555;0.15841;
0.0136655;0.351611;
0.0136755;0.53077;
0.0136855;0.688729;
0.0136955;0.819175;
0.0137055;0.916896;
0.0137155;0.977987;
0.0137255;1.00001;
0.0137355;0.982079;
0.0137455;0.924917;
0.0137555;0.830808;
0.0137655;0.703512;
0.0137755;0.548118;
0.0137855;0.370836;
0.0137955;0.178751;
0.0138055;-0.0204596;
0.0138155;-0.218835;
0.0138255;-0.408447;
0.0138355;-0.581718;
0.0138455;-0.731723;
0.0138555;-0.852468;
0.0138655;-0.939127;
0.0138755;-0.988237;
0.0138855;-0.997836;
0.0138955;-0.967541;
0.0139055;-0.898564;
0.0139155;-0.79366;
0.0139255;-0.657023;
0.0139355;-0.494115;
0.0139455;-0.311446;
0.0139555;-0.116318;
0.0139655;0.0834715;
0.0139755;0.279936;
0.0139855;0.465223;
0.0139955;0.631928;
0.0140055;0.773386;
0.0140155;0.883945;
0.0140255;0.959184;
0.0140355;0.996095;
0.0140455;0.993203;
0.0140555;0.950622;
0.0140655;0.870053;
0.0140755;0.754715;
0.0140855;0.609216;
0.0140955;0.43937;
0.0141055;0.251963;
0.0141155;0.0544848;
0.0141255;-0.145174;
0.0141355;-0.339035;
0.0141455;-0.519352;
0.0141555;-0.678919;
0.0141655;-0.81136;
0.0141755;-0.911384;
0.0141855;-0.974992;
0.0141955;-0.999645;
0.0142055;-0.984357;
0.0142155;-0.929741;
0.0142255;-0.837978;
0.0142355;-0.712738;
0.0142455;-0.559026;
0.0142555;-0.382985;
0.0142655;-0.191651;
0.0142755;0.00732919;
0.0142855;0.206003;
0.0142955;0.396431;
0.0143055;0.571003;
0.0143155;0.722741;
0.0143255;0.845581;
0.0143355;0.934615;
0.0143455;0.986284;
0.0143555;0.998523;
0.0143655;0.970844;
0.0143755;0.904354;
0.0143855;0.801708;
0.0143955;0.667011;
0.0144055;0.505645;
0.0144155;0.324061;
0.0144255;0.129514;
0.0144355;-0.0702182;
0.0144455;-0.267154;
0.0144555;-0.453422;
0.0144655;-0.621578;
0.0144755;-0.764901;
0.0144855;-0.877661;
0.0144955;-0.955353;
0.0145055;-0.99487;
0.0145155;-0.994632;
0.0145255;-0.954647;
0.0145355;-0.876514;
0.0145455;-0.763354;
0.0145555;-0.619688;
0.0145655;-0.451256;
0.0145755;-0.26479;
0.0145855;-0.0677404;
0.0145955;0.132019;
0.0146055;0.326505;
0.0146155;0.507947;
0.0146255;0.669094;
0.0146355;0.803507;
0.0146455;0.905814;
0.0146555;0.971928;
0.0146655;0.999208;
0.0146755;0.986563;
0.0146855;0.9345;
0.0146955;0.8451;
0.0147055;0.721936;
0.0147155;0.569932;
0.0147255;0.395162;
0.0147355;0.204611;
0.0147455;0.00589478;
0.0147555;-0.193044;
0.0147655;-0.384256;
0.0147755;-0.560098;
0.0147855;-0.713544;
0.0147955;-0.838459;
0.0148055;-0.929853;
0.0148155;-0.984073;
0.0148255;-0.998952;
0.0148355;-0.973895;
0.0148455;-0.909904;
0.0148555;-0.809536;
0.0148655;-0.676803;
0.0148755;-0.517009;
0.0148855;-0.336541;
0.0148955;-0.142612;
0.0149055;0.0570283;
0.0149155;0.2544;
0.0149255;0.441616;
0.0149355;0.611193;
0.0149455;0.756354;
0.0149555;0.871296;
0.0149655;0.951426;
0.0149755;0.993541;
0.0149855;0.995957;
0.0149955;0.958576;
0.015;0.929105;
