time;V(/LPF);
0.0122709;-1.15981;
0.0122809;-1.15383;
0.0122909;-1.14714;
0.0123009;-1.13974;
0.0123109;-1.13166;
0.0123209;-1.12288;
0.0123309;-1.11342;
0.0123409;-1.10329;
0.0123509;-1.09249;
0.0123609;-1.08104;
0.0123709;-1.06894;
0.0123809;-1.0562;
0.0123909;-1.04284;
0.0124009;-1.02885;
0.0124109;-1.01426;
0.0124209;-0.999072;
0.0124309;-0.983296;
0.0124409;-0.966946;
0.0124509;-0.950031;
0.0124609;-0.932565;
0.0124709;-0.91456;
0.0124809;-0.896027;
0.0124909;-0.876979;
0.0125009;-0.857429;
0.0125109;-0.83739;
0.0125209;-0.816874;
0.0125309;-0.795896;
0.0125409;-0.774468;
0.0125509;-0.752604;
0.0125609;-0.730317;
0.0125709;-0.707623;
0.0125809;-0.684533;
0.0125909;-0.661063;
0.0126009;-0.637227;
0.0126109;-0.613039;
0.0126209;-0.588513;
0.0126309;-0.563664;
0.0126409;-0.538507;
0.0126509;-0.513055;
0.0126609;-0.487323;
0.0126709;-0.461327;
0.0126809;-0.435081;
0.0126909;-0.408599;
0.0127009;-0.381897;
0.0127109;-0.354989;
0.0127209;-0.327891;
0.0127309;-0.300616;
0.0127409;-0.273181;
0.0127509;-0.245601;
0.0127609;-0.217889;
0.0127709;-0.190062;
0.0127809;-0.162134;
0.0127909;-0.134121;
0.0128009;-0.106037;
0.0128109;-0.0778971;
0.0128209;-0.0497174;
0.0128309;-0.0215125;
0.0128409;0.00670255;
0.0128509;0.0349125;
0.0128609;0.0631022;
0.0128709;0.0912566;
0.0128809;0.11936;
0.0128909;0.147399;
0.0129009;0.175356;
0.0129109;0.203218;
0.0129209;0.230969;
0.0129309;0.258593;
0.0129409;0.286076;
0.0129509;0.313403;
0.0129609;0.340559;
0.0129709;0.367529;
0.0129809;0.394297;
0.0129909;0.420849;
0.0130009;0.447169;
0.0130109;0.473244;
0.0130209;0.499058;
0.0130309;0.524596;
0.0130409;0.549843;
0.0130509;0.574786;
0.0130609;0.599409;
0.0130709;0.623698;
0.0130809;0.647639;
0.0130909;0.671217;
0.0131009;0.694419;
0.0131109;0.71723;
0.0131209;0.739636;
0.0131309;0.761623;
0.0131409;0.783178;
0.0131509;0.804288;
0.0131609;0.824939;
0.0131709;0.845118;
0.0131809;0.864812;
0.0131909;0.884009;
0.0132009;0.902695;
0.0132109;0.920859;
0.0132209;0.938489;
0.0132309;0.955573;
0.0132409;0.972099;
0.0132509;0.988057;
0.0132609;1.00343;
0.0132709;1.01822;
0.0132809;1.03241;
0.0132909;1.04598;
0.0133009;1.05894;
0.0133109;1.07126;
0.0133209;1.08295;
0.0133309;1.09399;
0.0133409;1.10438;
0.0133509;1.1141;
0.0133609;1.12315;
0.0133709;1.13152;
0.0133809;1.13921;
0.0133909;1.14621;
0.0134009;1.15252;
0.0134109;1.15812;
0.0134209;1.16302;
0.0134309;1.1672;
0.0134409;1.17068;
0.0134509;1.17343;
0.0134609;1.17547;
0.0134709;1.17679;
0.0134809;1.17738;
0.0134909;1.17724;
0.0135009;1.17639;
0.0135109;1.1748;
0.0135209;1.17249;
0.0135309;1.16945;
0.0135409;1.16569;
0.0135509;1.16121;
0.0135609;1.15601;
0.0135709;1.15009;
0.0135809;1.14346;
0.0135909;1.13613;
0.0136009;1.12808;
0.0136109;1.11934;
0.0136209;1.1099;
0.0136309;1.09978;
0.0136409;1.08897;
0.0136509;1.07749;
0.0136609;1.06534;
0.0136709;1.05253;
0.0136809;1.03907;
0.0136909;1.02497;
0.0137009;1.01023;
0.0137109;0.994874;
0.0137209;0.978904;
0.0137309;0.962332;
0.0137409;0.945169;
0.0137509;0.927427;
0.0137609;0.909116;
0.0137709;0.89025;
0.0137809;0.870841;
0.0137909;0.850903;
0.0138009;0.830447;
0.0138109;0.809488;
0.0138209;0.78804;
0.0138309;0.766117;
0.0138409;0.743734;
0.0138509;0.720905;
0.0138609;0.697645;
0.0138709;0.673969;
0.0138809;0.649894;
0.0138909;0.625434;
0.0139009;0.600606;
0.0139109;0.575425;
0.0139209;0.549909;
0.0139309;0.524072;
0.0139409;0.497933;
0.0139509;0.471507;
0.0139609;0.444812;
0.0139709;0.417864;
0.0139809;0.39068;
0.0139909;0.363278;
0.0140009;0.335674;
0.0140109;0.307886;
0.0140209;0.27993;
0.0140309;0.251825;
0.0140409;0.223587;
0.0140509;0.195233;
0.0140609;0.166782;
0.0140709;0.138249;
0.0140809;0.109653;
0.0140909;0.0810103;
0.0141009;0.0523381;
0.0141109;0.0236535;
0.0141209;-0.00502657;
0.0141309;-0.0336852;
0.0141409;-0.0623055;
0.0141509;-0.0908708;
0.0141609;-0.119364;
