time;V(/BPF);
0.0106585;-6.03994;
0.0106685;-6.38272;
0.0106785;-6.69747;
0.0106885;-6.98281;
0.0106985;-7.23749;
0.0107085;-7.46039;
0.0107185;-7.65056;
0.0107285;-7.80716;
0.0107385;-7.92951;
0.0107485;-8.01708;
0.0107585;-8.06949;
0.0107685;-8.08652;
0.0107785;-8.0681;
0.0107885;-8.01432;
0.0107985;-7.92542;
0.0108085;-7.80179;
0.0108185;-7.64399;
0.0108285;-7.4527;
0.0108385;-7.22878;
0.0108485;-6.97321;
0.0108585;-6.68711;
0.0108685;-6.37175;
0.0108785;-6.02852;
0.0108885;-5.65892;
0.0108985;-5.26458;
0.0109085;-4.84723;
0.0109185;-4.4087;
0.0109285;-3.95092;
0.0109385;-3.47591;
0.0109485;-2.98573;
0.0109585;-2.48256;
0.0109685;-1.96859;
0.0109785;-1.44611;
0.0109828;-1.21681;
0.0109864;-1.02495;
0.0109902;-0.827644;
0.0109932;-0.665376;
0.0109972;-0.450615;
0.0110014;-0.229435;
0.0110061;0.0232568;
0.0110122;0.347805;
0.0110162;0.561502;
0.0110192;0.716864;
0.0110218;0.854519;
0.0110239;0.970778;
0.0110264;1.1013;
0.01103;1.29266;
0.0110322;1.40711;
0.0110349;1.55086;
0.0110374;1.68019;
0.0110403;1.83297;
0.0110443;2.04063;
0.0110485;2.25231;
0.0110553;2.6006;
0.011063;2.98813;
0.011073;3.47703;
0.011083;3.9506;
0.011093;4.40676;
0.011103;4.84351;
0.011113;5.25894;
0.011123;5.65124;
0.011133;6.01868;
0.011143;6.35966;
0.011153;6.67269;
0.011163;6.9564;
0.011173;7.20955;
0.011183;7.43104;
0.011193;7.61989;
0.011203;7.7753;
0.011213;7.89657;
0.011223;7.98319;
0.011233;8.03478;
0.011243;8.05112;
0.011253;8.03214;
0.011263;7.97794;
0.011273;7.88875;
0.011283;7.76498;
0.011293;7.60717;
0.011303;7.41602;
0.011313;7.19237;
0.011323;6.93721;
0.011333;6.65166;
0.011343;6.33699;
0.011353;5.99457;
0.011363;5.62592;
0.011373;5.23264;
0.011383;4.81649;
0.011393;4.37927;
0.011403;3.92292;
0.011413;3.44943;
0.011423;2.9609;
0.011433;2.45945;
0.011443;1.9473;
0.011453;1.4267;
0.0114587;1.1315;
0.011463;0.902766;
0.0114674;0.668579;
0.0114703;0.516774;
0.011474;0.318214;
0.011478;0.105776;
0.011482;-0.105342;
0.0114884;-0.446537;
0.0114913;-0.602388;
0.0114948;-0.784881;
0.0114979;-0.952568;
0.0115009;-1.10811;
0.011505;-1.32536;
0.0115086;-1.51078;
0.0115124;-1.71221;
0.0115185;-2.02888;
0.0115244;-2.33009;
0.0115344;-2.83358;
0.0115444;-3.32456;
0.0115544;-3.80086;
0.0115644;-4.26042;
0.0115744;-4.7012;
0.0115844;-5.12128;
0.0115944;-5.51882;
0.0116044;-5.89209;
0.0116144;-6.23943;
0.0116244;-6.55935;
0.0116344;-6.85042;
0.0116444;-7.11139;
0.0116544;-7.34111;
0.0116644;-7.53859;
0.0116744;-7.70295;
0.0116844;-7.83349;
0.0116944;-7.92962;
0.0117044;-7.99095;
0.0117144;-8.0172;
0.0117244;-8.00826;
0.0117344;-7.96418;
0.0117444;-7.88516;
0.0117544;-7.77155;
0.0117644;-7.62385;
0.0117744;-7.44272;
0.0117844;-7.22895;
0.0117944;-6.98349;
0.0118044;-6.70743;
0.0118144;-6.40197;
0.0118244;-6.06846;
0.0118344;-5.70837;
0.0118444;-5.32329;
0.0118544;-4.9149;
0.0118644;-4.48501;
0.0118744;-4.03549;
0.0118844;-3.56834;
0.0118944;-3.0856;
0.0119044;-2.58939;
0.0119144;-2.08189;
0.0119244;-1.56533;
0.0119344;-1.042;
0.0119406;-0.716417;
0.0119465;-0.403371;
0.0119501;-0.212972;
0.0119541;-0.000810178;
0.0119583;0.222483;
0.0119623;0.431363;
0.0119656;0.607541;
0.0119695;0.814685;
0.0119741;1.05402;
0.0119787;1.29606;
0.0119839;1.57064;
0.0119915;1.95915;
0.0119989;2.3397;
0.0120089;2.84096;
