Index,Channel_2
1,4.284668
2,4.257812
3,4.243164
4,4.230957
5,4.206543
6,4.206543
7,4.187012
8,4.167480
9,4.155273
10,4.128418
11,4.111328
12,4.094238
13,4.060059
14,4.045410
15,4.018555
16,3.996582
17,3.979492
18,3.947754
19,3.913574
20,3.901367
21,3.864746
22,3.842773
23,3.825684
24,3.796387
25,3.759766
26,3.735352
27,3.698730
28,3.684082
29,3.642578
30,3.605957
31,3.581543
32,3.544922
33,3.510742
34,3.486328
35,3.447266
36,3.405762
37,3.378906
38,3.339844
39,3.303223
40,3.269043
41,3.225098
42,3.195801
43,3.156738
44,3.110352
45,3.081055
46,3.039551
47,2.995605
48,2.954102
49,2.912598
50,2.875977
51,2.836914
52,2.797852
53,2.746582
54,2.707520
55,2.663574
56,2.622070
57,2.585449
58,2.534180
59,2.490234
60,2.446289
61,2.395020
62,2.358398
63,2.307129
64,2.250977
65,2.202148
66,2.158203
67,2.116699
68,2.075195
69,2.026367
70,1.967773
71,1.921387
72,1.870117
73,1.833496
74,1.774902
75,1.723633
76,1.677246
77,1.618652
78,1.574707
79,1.538086
80,1.472168
81,1.418457
82,1.369629
83,1.313477
84,1.276855
85,1.223145
86,1.157227
87,1.118164
88,1.059570
89,1.010742
90,0.959473
91,0.891113
92,0.844727
93,0.791016
94,0.734863
95,0.690918
96,0.639648
97,0.578613
98,0.522461
99,0.471191
100,0.415039
101,0.373535
102,0.307617
103,0.253906
104,0.209961
105,0.148926
106,0.102539
107,0.051270
108,-0.017090
109,-0.065918
110,-0.122070
111,-0.175781
112,-0.217285
113,-0.278320
114,-0.341797
115,-0.393066
116,-0.444336
117,-0.498047
118,-0.534668
119,-0.612793
120,-0.661621
121,-0.708008
122,-0.778809
123,-0.822754
124,-0.871582
125,-0.917969
126,-0.976562
127,-1.032715
128,-1.081543
129,-1.130371
130,-1.179199
131,-1.237793
132,-1.293945
133,-1.333008
134,-1.396484
135,-1.447754
136,-1.489258
137,-1.540527
138,-1.596680
139,-1.640625
140,-1.696777
141,-1.750488
142,-1.784668
143,-1.840820
144,-1.892090
145,-1.938477
146,-1.987305
147,-2.033691
148,-2.072754
149,-2.136230
150,-2.172852
151,-2.216797
152,-2.270508
153,-2.307129
154,-2.363281
155,-2.404785
156,-2.438965
157,-2.504883
158,-2.529297
159,-2.568359
