Index,Channel_2
1,-0.131836
2,-0.192871
3,-0.249023
4,-0.295410
5,-0.358887
6,-0.402832
7,-0.456543
8,-0.510254
9,-0.551758
10,-0.612793
11,-0.664062
12,-0.712891
13,-0.773926
14,-0.827637
15,-0.878906
16,-0.937500
17,-0.986328
18,-1.032715
19,-1.091309
20,-1.147461
21,-1.203613
22,-1.247559
23,-1.293945
24,-1.335449
25,-1.398926
26,-1.445312
27,-1.499023
28,-1.540527
29,-1.591797
30,-1.647949
31,-1.696777
32,-1.740723
33,-1.796875
34,-1.828613
35,-1.889648
36,-1.943359
37,-1.982422
38,-2.033691
39,-2.070312
40,-2.119141
41,-2.172852
42,-2.211914
43,-2.260742
44,-2.314453
45,-2.348633
46,-2.395020
47,-2.436523
48,-2.482910
49,-2.521973
50,-2.553711
51,-2.614746
52,-2.656250
53,-2.702637
54,-2.741699
55,-2.766113
56,-2.807617
57,-2.856445
58,-2.893066
59,-2.929688
60,-2.971191
61,-3.012695
62,-3.049316
63,-3.076172
64,-3.117676
65,-3.159180
66,-3.193359
67,-3.232422
68,-3.264160
69,-3.298340
70,-3.334961
71,-3.361816
72,-3.391113
73,-3.432617
74,-3.452148
75,-3.498535
76,-3.522949
77,-3.559570
78,-3.588867
79,-3.610840
80,-3.635254
81,-3.676758
82,-3.698730
83,-3.730469
84,-3.759766
85,-3.776855
86,-3.798828
87,-3.830566
88,-3.850098
89,-3.869629
90,-3.894043
91,-3.918457
92,-3.942871
93,-3.967285
94,-3.986816
95,-4.013672
96,-4.020996
97,-4.047852
98,-4.069824
99,-4.082031
100,-4.104004
101,-4.116211
102,-4.135742
103,-4.150391
104,-4.160156
105,-4.174805
106,-4.189453
107,-4.196777
108,-4.216309
109,-4.233398
110,-4.243164
111,-4.255371
112,-4.255371
113,-4.265137
114,-4.282227
115,-4.289551
116,-4.299316
117,-4.313965
118,-4.306641
119,-4.318848
120,-4.318848
121,-4.321289
122,-4.328613
123,-4.326172
124,-4.333496
125,-4.343262
126,-4.343262
127,-4.343262
128,-4.338379
129,-4.326172
130,-4.340820
131,-4.328613
132,-4.333496
133,-4.335938
134,-4.331055
135,-4.316406
136,-4.318848
137,-4.309082
138,-4.304199
139,-4.296875
140,-4.282227
141,-4.270020
142,-4.272461
143,-4.260254
144,-4.245605
145,-4.238281
146,-4.218750
147,-4.213867
148,-4.204102
149,-4.182129
150,-4.179688
151,-4.160156
152,-4.138184
153,-4.125977
154,-4.104004
155,-4.089355
156,-4.077148
157,-4.057617
158,-4.028320
159,-4.013672
160,-3.996582
161,-3.972168
162,-3.955078
163,-3.928223
164,-3.898926
165,-3.886719
166,-3.854980
167,-3.825684
168,-3.803711
169,-3.769531
170,-3.747559
171,-3.728027
172,-3.696289
173,-3.669434
174,-3.635254
175,-3.603516
176,-3.583984
177,-3.544922
178,-3.518066
179,-3.479004
180,-3.437500
181,-3.422852
182,-3.393555
183,-3.356934
184,-3.320312
185,-3.283691
186,-3.259277
187,-3.217773
188,-3.178711
189,-3.144531
190,-3.103027
191,-3.061523
192,-3.037109
193,-2.988281
194,-2.949219
195,-2.907715
196,-2.861328
197,-2.829590
198,-2.790527
199,-2.746582
200,-2.712402
201,-2.656250
202,-2.614746
203,-2.580566
204,-2.529297
205,-2.495117
206,-2.456055
207,-2.407227
208,-2.368164
209,-2.316895
210,-2.260742
211,-2.221680
212,-2.172852
213,-2.131348
214,-2.089844
215,-2.041016
216,-1.992188
217,-1.933594
218,-1.899414
219,-1.845703
220,-1.801758
221,-1.760254
222,-1.694336
223,-1.645508
224,-1.613770
225,-1.547852
226,-1.503906
227,-1.459961
228,-1.396484
229,-1.347656
230,-1.298828
231,-1.252441
232,-1.206055
233,-1.152344
234,-1.096191
235,-1.042480
236,-0.996094
237,-0.944824
238,-0.893555
239,-0.842285
240,-0.786133
241,-0.734863
242,-0.681152
243,-0.634766
244,-0.585938
245,-0.515137
246,-0.476074
247,-0.427246
248,-0.368652
249,-0.317383
250,-0.251465
251,-0.202637
252,-0.158691
253,-0.100098
254,-0.048828
255,0.014648
256,0.058594
257,0.112305
258,0.168457
259,0.217285
260,0.275879
261,0.339355
262,0.375977
263,0.424805
264,0.476074
265,0.527344
266,0.593262
267,0.642090
268,0.690918
269,0.744629
270,0.803223
271,0.864258
272,0.903320
273,0.952148
274,1.013184
275,1.064453
276,1.118164
277,1.169434
278,1.213379
279,1.269531
280,1.315918
281,1.374512
282,1.425781
283,1.462402
284,1.525879
285,1.577148
286,1.618652
287,1.674805
288,1.718750
289,1.762695
290,1.818848
291,1.860352
292,1.911621
293,1.960449
294,2.021484
295,2.060547
296,2.104492
297,2.153320
298,2.189941
299,2.243652
300,2.294922
301,2.329102
302,2.380371
303,2.424316
304,2.463379
305,2.514648
306,2.543945
307,2.600098
308,2.639160
309,2.678223
310,2.731934
311,2.770996
312,2.800293
313,2.844238
314,2.875977
315,2.929688
316,2.966309
317,2.990723
318,3.037109
319,3.073730
320,3.115234
321,3.166504
322,3.181152
323,3.222656
324,3.266602
325,3.293457
326,3.330078
327,3.359375
328,3.398438
329,3.432617
330,3.469238
331,3.493652
332,3.520508
333,3.557129
334,3.588867
335,3.615723
336,3.647461
337,3.666992
338,3.701172
339,3.728027
340,3.759766
341,3.784180
342,3.808594
343,3.833008
344,3.857422
345,3.881836
346,3.908691
347,3.925781
348,3.945312
349,3.972168
350,4.001465
351,4.025879
352,4.038086
353,4.060059
354,4.082031
355,4.096680
356,4.111328
357,4.130859
358,4.147949
359,4.165039
360,4.187012
361,4.199219
362,4.206543
363,4.218750
364,4.230957
365,4.245605
366,4.255371
367,4.265137
368,4.282227
369,4.291992
370,4.299316
371,4.311523
372,4.309082
373,4.318848
374,4.326172
375,4.338379
376,4.348145
377,4.343262
378,4.348145
379,4.350586
380,4.353027
381,4.357910
382,4.353027
383,4.357910
384,4.357910
385,4.353027
386,4.362793
387,4.353027
388,4.348145
389,4.348145
390,4.340820
391,4.345703
392,4.335938
393,4.328613
394,4.326172
395,4.306641
396,4.309082
397,4.294434
398,4.277344
399,4.267578
400,4.260254
401,4.260254
402,4.235840
403,4.230957
404,4.213867
405,4.196777
406,4.189453
407,4.182129
408,4.155273
409,4.140625
410,4.118652
411,4.108887
412,4.089355
413,4.060059
414,4.042969
415,4.020996
416,3.996582
417,3.989258
418,3.962402
419,3.925781
420,3.913574
421,3.884277
422,3.859863
423,3.842773
424,3.811035
425,3.786621
426,3.764648
427,3.730469
428,3.703613
429,3.671875
430,3.632812
431,3.613281
432,3.581543
433,3.549805
434,3.520508
435,3.483887
436,3.457031
437,3.422852
438,3.395996
439,3.366699
440,3.315430
441,3.286133
442,3.247070
443,3.203125
444,3.178711
445,3.142090
446,3.098145
447,3.063965
448,3.015137
449,2.990723
450,2.954102
451,2.900391
452,2.866211
453,2.817383
454,2.783203
455,2.741699
456,2.690430
457,2.658691
458,2.609863
459,2.563477
460,2.524414
461,2.490234
462,2.441406
463,2.390137
464,2.348633
465,2.299805
466,2.260742
467,2.209473
468,2.160645
469,2.119141
470,2.070312
471,2.019043
472,1.982422
473,1.928711
474,1.877441
475,1.833496
476,1.777344
477,1.740723
478,1.684570
479,1.633301
480,1.584473
481,1.533203
482,1.486816
483,1.445312
484,1.381836
485,1.337891
486,1.284180
487,1.228027
488,1.179199
489,1.142578
490,1.079102
491,1.027832
492,0.969238
493,0.920410
494,0.871582
495,0.820312
496,0.761719
497,0.710449
498,0.656738
499,0.598145
500,0.559082
501,0.500488
502,0.444336
503,0.395508
504,0.336914
505,0.292969
506,0.236816
507,0.173340
508,0.126953
509,0.068359
510,0.024414
511,-0.024414
512,-0.090332
513,-0.139160
514,-0.190430
515,-0.241699
516,-0.295410
517,-0.358887
518,-0.410156
519,-0.458984
520,-0.507812
521,-0.559082
522,-0.605469
523,-0.671387
524,-0.717773
525,-0.769043
526,-0.830078
527,-0.881348
528,-0.935059
529,-0.988770
530,-1.037598
531,-1.091309
532,-1.147461
533,-1.184082
534,-1.240234
535,-1.301270
536,-1.345215
537,-1.401367
538,-1.452637
539,-1.496582
540,-1.545410
541,-1.604004
542,-1.640625
543,-1.694336
544,-1.738281
545,-1.789551
546,-1.843262
547,-1.889648
548,-1.933594
549,-1.984863
550,-2.019043
551,-2.075195
552,-2.126465
553,-2.170410
554,-2.226562
555,-2.258301
556,-2.294922
557,-2.351074
558,-2.390137
559,-2.438965
560,-2.482910
561,-2.521973
562,-2.558594
