time;V(/BSF);
0.0115851;-0.584551;
0.0115868;-0.582467;
0.0115882;-0.580856;
0.0115894;-0.57925;
0.0115903;-0.578052;
0.0115913;-0.576792;
0.0115924;-0.575364;
0.0115936;-0.573707;
0.0115959;-0.570449;
0.0115983;-0.566827;
0.0116017;-0.561518;
0.0116065;-0.553607;
0.0116118;-0.544316;
0.0116211;-0.52633;
0.0116311;-0.504787;
0.0116411;-0.48107;
0.0116511;-0.455289;
0.0116611;-0.427551;
0.0116711;-0.39798;
0.0116811;-0.366702;
0.0116911;-0.333857;
0.0117011;-0.299582;
0.0117111;-0.26403;
0.0117211;-0.227353;
0.0117311;-0.189712;
0.0117411;-0.151266;
0.0117511;-0.112187;
0.0117611;-0.0726394;
0.0117711;-0.0328084;
0.0117811;0.00711529;
0.0117878;0.0337949;
0.0117942;0.0593446;
0.0118003;0.0837809;
0.0118066;0.108461;
0.0118126;0.131982;
0.0118217;0.167308;
0.0118317;0.205263;
0.0118417;0.242313;
0.0118517;0.2783;
0.0118617;0.313067;
0.0118717;0.346466;
0.0118817;0.378351;
0.0118917;0.408588;
0.0119017;0.437044;
0.0119117;0.463599;
0.0119217;0.488138;
0.0119317;0.510556;
0.0119417;0.530757;
0.0119517;0.548654;
0.0119617;0.564173;
0.0119717;0.577244;
0.0119817;0.587816;
0.0119857;0.591308;
0.0119879;0.593081;
0.01199;0.594628;
0.0119926;0.596462;
0.0119956;0.598359;
0.011999;0.600293;
0.012003;0.602234;
